movie_id,title,genres,keywords,overview,director,cast,rating
1,Inception,"Action,Adventure,Sci-Fi","dream,thief,subconscious,heist","A thief who steals corporate secrets through dream-sharing is tasked with planting an idea in a target's mind.","Christopher Nolan","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",8.8
2,Interstellar,"Adventure,Drama,Sci-Fi","space,wormhole,black hole,astronaut","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain",8.6
3,The Dark Knight,"Action,Crime,Drama","batman,joker,superhero,vigilante","When the menace known as the Joker wreaks havoc, Batman must accept one of the greatest tests of his ability.","Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart",9.0
4,The Matrix,"Action,Sci-Fi","virtual reality,simulation,hacker,rebellion","A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war.","Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",8.7
5,Avatar,"Action,Adventure,Sci-Fi","alien,planet,colonization,marine","A paraplegic Marine dispatched to Pandora becomes torn between following orders and protecting this world.","James Cameron","Sam Worthington, Zoe Saldana, Sigourney Weaver",7.9
6,The Godfather,"Crime,Drama","mafia,family,crime syndicate,revenge","The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.","Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan",9.2
7,Pulp Fiction,"Crime,Drama","hitman,boxer,heist,mobster","The lives of two mob hitmen, a boxer, a gangster, and his wife intertwine in tales of violence and redemption.","Quentin Tarantino","John Travolta, Uma Thurman, Samuel L. Jackson",8.9
8,Fight Club,"Drama,Thriller","insomnia,split personality,fight club,rebellion","An insomniac office worker and a soapmaker form an underground fight club that evolves into something more.","David Fincher","Brad Pitt, Edward Norton, Helena Bonham Carter",8.8
9,Forrest Gump,"Drama,Romance,Comedy","history,love,marathon,vietnam war","The presidency of JFK, Vietnam war, and other events unfold from the perspective of an Alabama man with an IQ of 75.","Robert Zemeckis","Tom Hanks, Robin Wright, Gary Sinise",8.8
10,The Shawshank Redemption,"Drama","prison,escape,friendship,redemption","Two imprisoned men bond over a number of years, finding solace and eventual redemption through common decency.","Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton",9.3
11,The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Drama","ring,wizard,hobbit,middle earth","A meek Hobbit and eight companions set out on a journey to destroy the One Ring and save Middle-earth.","Peter Jackson","Elijah Wood, Ian McKellen, Orlando Bloom",8.8
12,Titanic,"Drama,Romance","shipwreck,iceberg,love story,historical","A seventeen-year-old aristocrat falls in love with a poor artist aboard the luxurious, ill-fated Titanic.","James Cameron","Leonardo DiCaprio, Kate Winslet, Billy Zane",7.9
13,Gladiator,"Action,Adventure,Drama","rome,gladiator,revenge,emperor","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.","Ridley Scott","Russell Crowe, Joaquin Phoenix, Connie Nielsen",8.5
